Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.84 T=19.2186179161072 s"
XSD, 3, 0, 0, 0, 6, 0, 0, 0, 48, 0, 0, 0, 226, 0, 0, 0, 
Java, 428, 31, 0, 0, 8711, 0, 26, 1, 47258, 137, 129, 81, 66659, 328, 645, 526, 
YAML, 1, 0, 0, 2, 5, 0, 0, 10, 0, 0, 0, 29, 21, 0, 0, 31, 
Maven, 0, 1, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 762, 18, 0, 0, 
Bourne Shell, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 
Markdown, 1, 1, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 183, 2, 0, 0, 
HTML, 0, 0, 0, 1, 0, 0, 0, 24, 0, 0, 0, 14, 0, 0, 0, 49, 
XML, 102, 35, 0, 0, 636, 0, 1, 0, 2242, 0, 0, 31, 19757, 42, 60, 1, 
JSON, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 
INI, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16, 0, 0, 0, 
Velocity Template Language, 1, 0, 0, 0, 15, 0, 0, 0, 31, 0, 0, 0, 76, 0, 0, 0, 
DTD, 3, 0, 0, 0, 15, 0, 0, 0, 46, 0, 0, 0, 22, 0, 0, 0, 
